Model,Sex,Factor_1,Factor_2,Cholesky
AP2,Female,v1,v1,0.0386
AP2,Female,v1,v2,0.0000
AP2,Female,v2,v1,-0.0305
AP2,Female,v2,v2,0.0340
AP3,Female,v1,v1,0.0367
AP3,Female,v1,v2,0.0000
AP3,Female,v1,v3,0.0000
AP3,Female,v2,v1,0.0019
AP3,Female,v2,v2,0.0187
AP3,Female,v2,v3,0.0000
AP3,Female,v3,v1,0.0218
AP3,Female,v3,v2,-0.0048
AP3,Female,v3,v3,0.0419
AP2,Male,v1,v1,0.0387
AP2,Male,v1,v2,0.0000
AP2,Male,v2,v1,-0.0206
AP2,Male,v2,v2,0.0400
AP3,Male,v1,v1,0.0476
AP3,Male,v1,v2,0.0000
AP3,Male,v1,v3,0.0000
AP3,Male,v2,v1,0.0056
AP3,Male,v2,v2,0.0220
AP3,Male,v2,v3,0.0000
AP3,Male,v3,v1,-0.0021
AP3,Male,v3,v2,0.0126
AP3,Male,v3,v3,0.0428
