Model,Sex,Factor_1,Factor_2,Correlation
AP2,Female,v1,v1,1.0000
AP2,Female,v1,v2,-0.6358
AP2,Female,v2,v1,-0.6358
AP2,Female,v2,v2,1.0000
AP3,Female,v1,v1,1.0000
AP3,Female,v1,v2,0.1349
AP3,Female,v1,v3,0.3194
AP3,Female,v2,v1,0.1349
AP3,Female,v2,v2,1.0000
AP3,Female,v2,v3,0.0296
AP3,Female,v3,v1,0.3194
AP3,Female,v3,v2,0.0296
AP3,Female,v3,v3,1.0000
AP2,Male,v1,v1,1.0000
AP2,Male,v1,v2,-0.4716
AP2,Male,v2,v1,-0.4716
AP2,Male,v2,v2,1.0000
AP3,Male,v1,v1,1.0000
AP3,Male,v1,v2,0.2164
AP3,Male,v1,v3,-0.0984
AP3,Male,v2,v1,0.2164
AP3,Male,v2,v2,1.0000
AP3,Male,v2,v3,0.2368
AP3,Male,v3,v1,-0.0984
AP3,Male,v3,v2,0.2368
AP3,Male,v3,v3,1.0000
