Model,Sex,Factor_1,Factor_2,Correlation
AP2,Female,v1,v1,1.0000
AP2,Female,v1,v2,-0.6674
AP2,Female,v2,v1,-0.6674
AP2,Female,v2,v2,1.0000
AP3,Female,v1,v1,1.0000
AP3,Female,v1,v2,0.1018
AP3,Female,v1,v3,0.4602
AP3,Female,v2,v1,0.1018
AP3,Female,v2,v2,1.0000
AP3,Female,v2,v3,-0.0531
AP3,Female,v3,v1,0.4602
AP3,Female,v3,v2,-0.0531
AP3,Female,v3,v3,1.0000
AP2,Male,v1,v1,1.0000
AP2,Male,v1,v2,-0.4569
AP2,Male,v2,v1,-0.4569
AP2,Male,v2,v2,1.0000
AP3,Male,v1,v1,1.0000
AP3,Male,v1,v2,0.2479
AP3,Male,v1,v3,-0.0468
AP3,Male,v2,v1,0.2479
AP3,Male,v2,v2,1.0000
AP3,Male,v2,v3,0.2622
AP3,Male,v3,v1,-0.0468
AP3,Male,v3,v2,0.2622
AP3,Male,v3,v3,1.0000
