"Model","Sex","Index","ARIMA"
"M1","Female","kappa","ARIMA(2,1,1) with drift"
"M2","Female","gamma","ARIMA(2,2,1)"
"M2","Female","kappa","ARIMA(2,1,1) with drift"
"M5","Female","kappa_1","ARIMA(2,2,2)"
"M5","Female","kappa_2","ARIMA(0,1,1) with drift"
"M6","Female","gamma","ARIMA(0,2,2)"
"M6","Female","kappa_1","ARIMA(2,2,2)"
"M6","Female","kappa_2","ARIMA(0,2,2)"
"M1","Male","kappa","ARIMA(2,2,2)"
"M2","Male","gamma","ARIMA(2,2,0)"
"M2","Male","kappa","ARIMA(2,2,2)"
"M5","Male","kappa_1","ARIMA(2,2,0)"
"M5","Male","kappa_2","ARIMA(0,1,1) with drift"
"M6","Male","gamma","ARIMA(0,2,2)"
"M6","Male","kappa_1","ARIMA(2,2,2)"
"M6","Male","kappa_2","ARIMA(2,2,2)"
