Year,Age,Female,Male,Total
1956,65,7746.12,8816.5,16562.620000000003
1956,66,8214.119999999999,9005.51,17219.629999999997
1956,67,8915.130000000001,9606.54,18521.67
1956,68,9709.15,10282.58,19991.73
1956,69,10373.15,10576.6,20949.75
1956,70,11144.17,10964.619999999999,22108.79
1956,71,11429.17,11361.64,22790.81
1956,72,12085.18,11873.68,23958.86
1956,73,12588.19,11933.69,24521.88
1956,74,13193.2,12356.71,25549.91
1956,75,13339.21,12390.71,25729.92
1956,76,13937.21,13042.75,26979.96
1956,77,14610.22,13323.76,27933.98
1956,78,14512.22,13049.74,27561.96
1956,79,14516.21,12559.71,27075.92
1956,80,13882.21,12063.69,25945.9
1956,81,12922.19,11103.630000000001,24025.82
1956,82,11841.18,9986.57,21827.75
1956,83,10667.16,8758.5,19425.66
1956,84,8614.130000000001,6963.4,15577.53
1956,85,7330.11,5965.35,13295.46
1956,86,6920.1,5394.3099999999995,12314.41
1956,87,5402.08,4176.24,9578.32
1956,88,4345.0599999999995,3133.18,7478.24
1956,89,3460.05,2449.1400000000003,5909.19
1956,90,2691.04,1799.1,4490.139999999999
1957,65,8236.08,9366.57,17602.65
1957,66,8700.08,9927.59,18627.67
1957,67,9191.09,9993.59,19184.68
1957,68,10104.1,10633.630000000001,20737.73
1957,69,10697.1,11155.65,21852.75
1957,70,11453.11,11649.69,23102.8
1957,71,12018.12,12205.73,24223.85
1957,72,12531.12,12573.74,25104.86
1957,73,13085.13,12502.74,25587.87
1957,74,13632.14,12570.74,26202.88
1957,75,14458.14,13023.78,27481.92
1957,76,14369.14,12840.76,27209.9
1957,77,14744.14,12913.77,27657.91
1957,78,14822.14,13048.78,27870.92
1957,79,14366.14,12566.75,26932.89
1957,80,14330.14,12353.74,26683.88
1957,81,13376.13,11297.67,24673.8
1957,82,12101.12,10329.619999999999,22430.739999999998
1957,83,10946.11,9076.529999999999,20022.64
1957,84,9527.09,7615.45,17142.54
1957,85,7971.08,6224.37,14195.45
1957,86,6567.06,5061.3099999999995,11628.37
1957,87,5940.06,4513.27,10453.33
1957,88,4708.04,3320.2,8028.24
1957,89,3539.04,2543.15,6082.19
1957,90,2857.02,1957.12,4814.139999999999
1958,65,7604.06,8818.27,16422.33
1958,66,8368.060000000001,9124.27,17492.33
1958,67,8957.060000000001,9720.3,18677.36
1958,68,9582.07,9959.3,19541.370000000003
1958,69,10136.08,10442.32,20578.4
1958,70,11110.08,11273.33,22383.41
1958,71,11591.08,11245.35,22836.43
1958,72,12319.09,11548.35,23867.44
1958,73,13030.1,12024.36,25054.46
1958,74,13103.1,12196.37,25299.47
1958,75,13717.1,12349.38,26066.48
1958,76,13923.1,12385.38,26308.48
1958,77,13913.1,12489.39,26402.49
1958,78,14253.11,12538.39,26791.5
1958,79,14272.11,12328.37,26600.48
1958,80,13912.1,11910.36,25822.46
1958,81,13253.1,11358.35,24611.45
1958,82,12459.1,10548.33,23007.43
1958,83,11089.08,9313.29,20402.370000000003
1958,84,10148.08,8134.25,18282.33
1958,85,8738.060000000001,6945.21,15683.27
1958,86,6720.05,5228.16,11948.21
1958,87,5639.04,4200.13,9839.17
1958,88,4954.04,3629.11,8583.15
1958,89,3696.02,2608.08,6304.1
1958,90,2898.02,1871.06,4769.08
1959,65,8034.08,9120.15,17154.23
1959,66,8447.08,9406.16,17853.239999999998
1959,67,8958.08,9921.16,18879.239999999998
1959,68,9780.1,10226.16,20006.260000000002
1959,69,10502.1,10555.17,21057.27
1959,70,11078.1,11109.18,22187.28
1959,71,12149.12,11654.19,23803.31
1959,72,12298.12,11916.19,24214.31
1959,73,13194.13,12238.2,25432.33
1959,74,13476.13,12553.2,26029.33
1959,75,13923.14,12280.2,26203.34
1959,76,14133.14,12748.2,26881.34
1959,77,14530.14,12385.2,26915.34
1959,78,14216.14,12242.2,26458.34
1959,79,14434.14,12102.2,26536.34
1959,80,14366.14,12009.19,26375.33
1959,81,13842.14,11469.18,25311.32
1959,82,13087.12,10814.17,23901.29
1959,83,11878.12,9822.16,21700.28
1959,84,10495.1,8467.14,18962.239999999998
1959,85,9117.08,7118.12,16235.2
1959,86,7676.08,5835.1,13511.18
1959,87,5816.06,4525.07,10341.130000000001
1959,88,4810.04,3546.06,8356.1
1959,89,4160.04,2860.04,7020.08
1959,90,3049.03,2124.04,5173.07
1960,65,8205.02,9969.14,18174.16
1960,66,8955.02,10186.130000000001,19141.15
1960,67,9593.02,10202.14,19795.16
1960,68,9967.02,10774.14,20741.16
1960,69,10993.02,11184.15,22177.17
1960,70,11594.02,11652.15,23246.17
1960,71,12169.02,12159.15,24328.17
1960,72,13289.03,12641.17,25930.2
1960,73,13845.04,12658.17,26503.21
1960,74,14236.04,13143.17,27379.21
1960,75,14864.04,13232.17,28096.21
1960,76,14853.04,13193.17,28046.21
1960,77,15412.04,13156.17,28568.21
1960,78,15481.04,12846.17,28327.21
1960,79,15099.04,12541.17,27640.21
1960,80,14909.04,12197.16,27106.2
1960,81,14594.04,11929.15,26523.19
1960,82,14045.04,11438.15,25483.19
1960,83,12925.03,10290.130000000001,23215.16
1960,84,11915.02,9444.130000000001,21359.15
1960,85,10062.02,7799.1,17861.120000000003
1960,86,8651.02,6630.08,15281.1
