Year,Age,Female,Male,Total
1956,65,385725.83,268470.5,654196.3300000001
1956,66,370495.84,258529.49,629025.3300000001
1956,67,355732.49,250836.15999999997,606568.67
1956,68,337552.16,241673.99,579226.17
1956,69,318249.83,228942.66999999998,547192.5
1956,70,298534.67,216135.65999999997,514670.33
1956,71,279562.49,204948.15999999997,484510.66000000003
1956,72,256880.0,189401.49,446281.5
1956,73,238239.5,176373.99,414613.49
1956,74,220043.33000000002,164391.66,384435.0
1956,75,202265.34000000003,150947.16999999998,353212.49
1956,76,186736.66,139791.32,326527.99
1956,77,170412.0,128050.5,298462.49
1956,78,152286.5,115060.16,267346.65
1956,79,133747.5,101286.83,235034.32
1956,80,117568.70999999999,89231.85,206800.55
1956,81,98655.76,74837.9,173493.66
1956,82,81089.86,60874.979999999996,141964.84
1956,83,65756.44,48501.74,114258.18
1956,84,49341.15,35988.93,85330.09
1956,85,38139.18,27166.65,65305.83
1956,86,31800.32,21891.89,53692.21
1956,87,23922.960000000003,15816.869999999999,39739.83
1956,88,17274.4,11036.65,28311.05
1956,89,13009.039999999999,7918.03,20927.07
1956,90,9205.32,5424.59,14629.900000000001
1957,65,393356.66000000003,268490.33999999997,661847.0
1957,66,377643.5,259494.5,637138.0
1957,67,361887.0,248909.83000000002,610796.8300000001
1957,68,346547.67,240768.33,587316.0
1957,69,327527.5,231074.66999999998,558602.17
1957,70,307587.01,218059.5,525646.5
1957,71,287284.32999999996,204682.33000000002,491966.66000000003
1957,72,267626.32999999996,192978.84000000003,460605.17000000004
1957,73,244485.33000000002,177325.16999999998,421810.5
1957,74,225255.5,164005.83000000002,389261.33
1957,75,206569.67,151832.5,358402.16
1957,76,188383.5,138315.16,326698.66
1957,77,172439.84,126814.67,299254.5
1957,78,155910.66,115168.5,271079.16000000003
1957,79,137878.66999999998,102371.5,240250.15999999997
1957,80,122549.25,91450.6,213999.84000000003
1957,81,104140.04,77606.17,181746.21
1957,82,86097.11,64181.11,150278.21
1957,83,69731.22,51319.59,121050.82
1957,84,55651.81,40303.76,95955.56999999999
1957,85,41089.06,29366.04,70455.09999999999
1957,86,31157.43,21671.49,52828.92
1957,87,25528.07,17048.11,42576.18
1957,88,18792.73,12055.99,30848.72
1957,89,13336.689999999999,8193.32,21530.0
1957,90,9848.17,5742.9,15591.07
1958,65,404737.17,271153.33,675890.5
1958,66,386584.83999999997,261236.33000000002,647821.16
1958,67,370332.5,251560.65999999997,621893.17
1958,68,354014.67,240633.33000000002,594648.0
1958,69,337676.5,231872.16999999998,569548.67
1958,70,317909.16,221425.16999999998,539334.3300000001
1958,71,297210.0,207942.83,505152.83999999997
1958,72,276297.5,194230.65999999997,470528.16000000003
1958,73,255758.17,182084.49,437842.66000000003
1958,74,232180.5,166038.33000000002,398218.82999999996
1958,75,212344.83000000002,152615.66,364960.49
1958,76,193159.15999999997,140130.66,333289.83
1958,77,174840.16999999998,126547.34,301387.5
1958,78,158538.84,114965.5,273504.32
1958,79,142010.5,103258.5,245268.99
1958,80,126103.38,91975.35,218078.74
