Model,Sex,Age,Year,Central,Lower_50,Upper_50,Lower_80,Upper_80,Lower_95,Upper_95
AP2,Female,65,2040,0.0053,0.0049,0.0056,0.0047,0.0059,0.0044,0.0063
AP2,Female,75,2040,0.0181,0.0167,0.0196,0.0155,0.0207,0.0145,0.0228
AP2,Female,85,2040,0.0601,0.0545,0.0661,0.0497,0.0712,0.0456,0.0794
AP3,Female,65,2040,0.0050,0.0047,0.0053,0.0045,0.0056,0.0043,0.0059
AP3,Female,75,2040,0.0174,0.0161,0.0188,0.0150,0.0202,0.0139,0.0217
AP3,Female,85,2040,0.0587,0.0532,0.0644,0.0487,0.0706,0.0446,0.0777
AP2,Male,65,2040,0.0111,0.0104,0.0119,0.0098,0.0127,0.0091,0.0136
AP2,Male,75,2040,0.0312,0.0288,0.0340,0.0269,0.0362,0.0247,0.0391
AP2,Male,85,2040,0.0844,0.0769,0.0928,0.0711,0.1008,0.0639,0.1099
AP3,Male,65,2040,0.0109,0.0101,0.0117,0.0095,0.0125,0.0089,0.0134
AP3,Male,75,2040,0.0306,0.0283,0.0335,0.0263,0.0360,0.0244,0.0387
AP3,Male,85,2040,0.0831,0.0759,0.0917,0.0700,0.0998,0.0643,0.1086
