Model,Sex,Age,Year,Central,Lower_50,Upper_50,Lower_80,Upper_80,Lower_95,Upper_95
M1,Female,65,2040,0.0057,0.0055,0.0060,0.0053,0.0062,0.0051,0.0065
M1,Female,75,2040,0.0134,0.0127,0.0141,0.0122,0.0148,0.0115,0.0156
M1,Female,85,2040,0.0556,0.0535,0.0578,0.0517,0.0597,0.0498,0.0620
M2,Female,65,2040,0.0042,0.0041,0.0044,0.0039,0.0047,0.0037,0.0049
M2,Female,75,2040,0.0109,0.0103,0.0114,0.0097,0.0121,0.0092,0.0128
M2,Female,85,2040,0.0514,0.0490,0.0538,0.0466,0.0567,0.0441,0.0597
M5,Female,65,2040,0.0056,0.0053,0.0059,0.0051,0.0062,0.0049,0.0065
M5,Female,75,2040,0.0149,0.0140,0.0158,0.0134,0.0164,0.0127,0.0174
M5,Female,85,2040,0.0582,0.0545,0.0617,0.0518,0.0651,0.0492,0.0688
M6,Female,65,2040,0.0070,0.0059,0.0084,0.0050,0.0098,0.0042,0.0118
M6,Female,75,2040,0.0239,0.0201,0.0287,0.0171,0.0331,0.0141,0.0405
M6,Female,85,2040,0.1029,0.0871,0.1229,0.0739,0.1420,0.0607,0.1741
M1,Male,65,2040,0.0128,0.0109,0.0146,0.0097,0.0165,0.0085,0.0192
M1,Male,75,2040,0.0288,0.0243,0.0329,0.0213,0.0374,0.0186,0.0438
M1,Male,85,2040,0.0911,0.0811,0.0998,0.0743,0.1089,0.0676,0.1211
M2,Male,65,2040,0.0102,0.0089,0.0118,0.0077,0.0134,0.0068,0.0155
M2,Male,75,2040,0.0266,0.0230,0.0310,0.0198,0.0357,0.0172,0.0416
M2,Male,85,2040,0.0956,0.0858,0.1071,0.0768,0.1185,0.0690,0.1324
M5,Male,65,2040,0.0138,0.0115,0.0163,0.0099,0.0191,0.0082,0.0225
M5,Male,75,2040,0.0323,0.0270,0.0380,0.0233,0.0446,0.0192,0.0520
M5,Male,85,2040,0.0990,0.0831,0.1150,0.0721,0.1349,0.0601,0.1553
M6,Male,65,2040,0.0137,0.0112,0.0163,0.0095,0.0192,0.0079,0.0233
M6,Male,75,2040,0.0377,0.0309,0.0447,0.0264,0.0533,0.0216,0.0645
M6,Male,85,2040,0.1295,0.1075,0.1536,0.0920,0.1793,0.0759,0.2122
