"Model","Sex","JumpOff","MAE","MASE"
"M1","Female","actual",0.2327,0.9376
"M1","Female","fitted",0.2563,1.0327
"M2","Female","actual",0.2312,0.9316
"M2","Female","fitted",0.285,1.1483
"M5","Female","actual",0.2707,1.0905
"M5","Female","fitted",0.5997,2.4164
"M6","Female","actual",0.2188,0.8818
"M6","Female","fitted",0.3913,1.5766
"M1","Male","actual",0.3161,0.8448
"M1","Male","fitted",0.2887,0.7716
"M2","Male","actual",0.2333,0.6235
"M2","Male","fitted",0.269,0.7191
"M5","Male","actual",0.311,0.8311
"M5","Male","fitted",0.9303,2.4865
"M6","Male","actual",0.2071,0.5535
"M6","Male","fitted",0.2771,0.7406
