Model,Sex,Age,Year,Central,Lower_50,Upper_50,Lower_80,Upper_80,Lower_95,Upper_95
M1,Female,18,2021,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
M1,Female,18,2022,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
M1,Female,18,2023,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
M1,Female,18,2024,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
M1,Female,18,2025,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
M1,Female,18,2026,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
M1,Female,18,2027,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
M1,Female,18,2028,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
M1,Female,18,2029,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
M1,Female,18,2030,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
M1,Female,18,2031,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
M1,Female,18,2032,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
M1,Female,18,2033,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
M1,Female,18,2034,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
M1,Female,18,2035,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
M1,Female,18,2036,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
M1,Female,18,2037,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
M1,Female,18,2038,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
M1,Female,18,2039,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
M1,Female,18,2040,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
M1,Female,19,2021,0.0002,0.0001,0.0002,0.0001,0.0002,0.0001,0.0002
M1,Female,19,2022,0.0001,0.0001,0.0002,0.0001,0.0002,0.0001,0.0002
M1,Female,19,2023,0.0001,0.0001,0.0002,0.0001,0.0002,0.0001,0.0002
M1,Female,19,2024,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0002
M1,Female,19,2025,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0002
M1,Female,19,2026,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0002
M1,Female,19,2027,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
M1,Female,19,2028,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
M1,Female,19,2029,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
M1,Female,19,2030,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
M1,Female,19,2031,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
M1,Female,19,2032,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
M1,Female,19,2033,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
M1,Female,19,2034,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
M1,Female,19,2035,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
M1,Female,19,2036,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
M1,Female,19,2037,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
M1,Female,19,2038,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
M1,Female,19,2039,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
M1,Female,19,2040,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
M1,Female,20,2021,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002
M1,Female,20,2022,0.0002,0.0002,0.0002,0.0002,0.0002,0.0001,0.0002
M1,Female,20,2023,0.0002,0.0002,0.0002,0.0001,0.0002,0.0001,0.0002
M1,Female,20,2024,0.0002,0.0001,0.0002,0.0001,0.0002,0.0001,0.0002
M1,Female,20,2025,0.0001,0.0001,0.0002,0.0001,0.0002,0.0001,0.0002
M1,Female,20,2026,0.0001,0.0001,0.0001,0.0001,0.0002,0.0001,0.0002
M1,Female,20,2027,0.0001,0.0001,0.0001,0.0001,0.0002,0.0001,0.0002
M1,Female,20,2028,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0002
M1,Female,20,2029,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0002
M1,Female,20,2030,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
M1,Female,20,2031,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
M1,Female,20,2032,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
M1,Female,20,2033,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
M1,Female,20,2034,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
M1,Female,20,2035,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
M1,Female,20,2036,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
M1,Female,20,2037,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
M1,Female,20,2038,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
M1,Female,20,2039,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
M1,Female,20,2040,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
M1,Female,21,2021,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002
